u, t, f(u), f(t)
4/115, 111/107, 1506667/1520875, 1619315/1225043
4/117, 113/109, 1587149/1601613, 1703637/1295029
4/119, 115/111, 1670439/1685159, 1790831/1367631
4/121, 117/113, 1756585/1771561, 1880945/1442897
4/123, 119/115, 1845635/1860867, 1974027/1520875
4/125, 121/117, 1937637/1953125, 2070125/1601613
4/127, 123/119, 2032639/2048383, 2169287/1685159
4/129, 125/121, 2130689/2146689, 2271561/1771561
4/131, 127/123, 2231835/2248091, 2376995/1860867
4/133, 129/125, 2336125/2352637, 2485637/1953125
4/135, 131/127, 2443607/2460375, 2597535/2048383
4/137, 133/129, 2554329/2571353, 2712737/2146689
4/139, 135/131, 2668339/2685619, 2831291/2248091
4/141, 137/133, 2785685/2803221, 2953245/2352637
4/143, 139/135, 2906415/2924207, 3078647/2460375
4/145, 141/137, 3030577/3048625, 3207545/2571353
4/147, 143/139, 3158219/3176523, 3339987/2685619
4/149, 145/141, 3289389/3307949, 3476021/2803221
4/151, 147/143, 3424135/3442951, 3615695/2924207
4/153, 149/145, 3562505/3581577, 3759057/3048625
4/155, 151/147, 3704547/3723875, 3906155/3176523
4/157, 153/149, 3850309/3869893, 4057037/3307949
4/159, 155/151, 3999839/4019679, 4211751/3442951
4/161, 157/153, 4153185/4173281, 4370345/3581577
4/163, 159/155, 4310395/4330747, 4532867/3723875
4/165, 161/157, 4471517/4492125, 4699365/3869893
4/167, 163/159, 4636599/4657463, 4869887/4019679
4/169, 165/161, 4805689/4826809, 5044481/4173281
4/171, 167/163, 4978835/5000211, 5223195/4330747
4/173, 169/165, 5156085/5177717, 5406077/4492125
4/175, 171/167, 5337487/5359375, 5593175/4657463
4/177, 173/169, 5523089/5545233, 5784537/4826809
4/179, 175/171, 5712939/5735339, 5980211/5000211
4/181, 177/173, 5907085/5929741, 6180245/5177717
4/183, 179/175, 6105575/6128487, 6384687/5359375
4/185, 181/177, 6308457/6331625, 6593585/5545233
4/187, 183/179, 6515779/6539203, 6806987/5735339
4/189, 185/181, 6727589/6751269, 7024941/5929741
4/191, 187/183, 6943935/6967871, 7247495/6128487
4/193, 189/185, 7164865/7189057, 7474697/6331625
4/195, 191/187, 7390427/7414875, 7706595/6539203
4/197, 193/189, 7620669/7645373, 7943237/6751269
4/199, 195/191, 7855639/7880599, 8184671/6967871
5/6, 193/48, 2/27, 5414929/13824
5/11, 6, 131/1331, 1441
5/11, 106/131, 131/1331, 891/2248091
5/11, 113/128, 131/1331, 70609/262144
5/12, 7/2, 41/216, 246
5/13, 8/3, 597/2197, 2587/27
5/14, 9/4, 118/343, 413/8
5/16, 11/6, 237/512, 632/27
5/17, 12/7, 2513/4913, 6103/343
5/18, 13/8, 404/729, 909/64
5/19, 7/25, 4059/6859, 8569/15625
5/19, 14/9, 4059/6859, 8569/729
5/19, 18/11, 4059/6859, 19475/1331
5/19, 105/128, 4059/6859, 8569/262144
5/21, 16/11, 6061/9261, 11571/1331
5/21, 20/21, 6061/9261, 6061/9261
5/21, 25/29, 6061/9261, 4389/24389
5/22, 17/12, 906/1331, 1661/216
5/23, 18/13, 8567/12167, 15157/2197
5/24, 19/14, 1253/1728, 2148/343
5/26, 21/16, 1672/2197, 2717/512
5/27, 22/17, 15283/19683, 24273/4913
5/28, 23/18, 2169/2744, 3374/729
5/29, 24/19, 19589/24389, 29899/6859
5/31, 26/21, 24591/29791, 36301/9261
5/32, 27/22, 3421/4096, 4976/1331
5/33, 28/23, 30337/35937, 43527/12167
5/34, 29/24, 4188/4913, 5933/1728
5/36, 31/26, 5057/5832, 7002/2197
5/37, 32/27, 44253/50653, 60643/19683
5/38, 33/28, 6034/6859, 8189/2744
5/39, 34/29, 52519/59319, 70629/24389
5/41, 36/31, 61721/68921, 81631/29791
5/42, 37/32, 8336/9261, 10941/4096
5/43, 38/33, 71907/79507, 93697/35937
5/44, 39/34, 9673/10648, 12518/4913
5/46, 41/36, 11142/12167, 14237/5832
5/47, 42/37, 95423/103823, 121213/50653
5/48, 43/38, 12749/13824, 16104/6859
5/49, 44/39, 108849/117649, 136759/59319
5/51, 46/41, 123451/132651, 153561/68921
5/52, 47/42, 16401/17576, 20306/9261
5/53, 48/43, 139277/148877, 171667/79507
5/54, 49/44, 18458/19683, 22653/10648
5/56, 51/46, 20677/21952, 25172/12167
5/57, 52/47, 174793/185193, 211983/103823
5/58, 53/48, 23064/24389, 27869/13824
5/59, 10/11, 194579/205379, 531/1331
5/59, 12/25, 194579/205379, 649/15625
5/59, 13, 194579/205379, 16225
5/59, 54/49, 194579/205379, 234289/117649
5/61, 56/51, 215781/226981, 258091/132651
5/62, 57/52, 28366/29791, 33821/17576
5/63, 58/53, 238447/250047, 283437/148877
5/64, 59/54, 31293/32768, 37088/19683
5/66, 61/56, 34412/35937, 40557/21952
5/67, 62/57, 288363/300763, 338953/185193
5/68, 63/58, 37729/39304, 44234/24389
5/69, 64/59, 315709/328509, 369219/205379
5/71, 66/61, 344711/357911, 401221/226981
5/72, 67/62, 44981/46656, 52236/29791
5/73, 68/63, 375417/389017, 435007/250047
5/74, 69/64, 48928/50653, 56573/32768
5/76, 71/66, 53097/54872, 61142/35937
5/77, 72/67, 442133/456533, 508123/300763
5/78, 73/68, 57494/59319, 65949/39304
5/79, 74/69, 478239/493039, 547549/328509
5/81, 76/71, 516241/531441, 588951/357911
5/82, 77/72, 66996/68921, 76301/46656
5/83, 78/73, 556187/571787, 632377/389017
5/84, 79/74, 72113/74088, 81858/50653
5/86, 81/76, 77482/79507, 87677/54872
5/87, 82/77, 642103/658503, 725493/456533
5/88, 83/78, 83109/85184, 93764/59319
5/89, 84/79, 688169/704969, 775279/493039
5/91, 86/81, 736371/753571, 827281/531441
5/92, 87/82, 95161/97336, 106766/68921
5/93, 88/83, 786757/804357, 881547/571787
5/94, 89/84, 101598/103823, 113693/74088
5/96, 91/86, 108317/110592, 120912/79507
5/97, 92/87, 894273/912673, 997063/658503
5/98, 93/88, 115324/117649, 128429/85184
5/99, 94/89, 951499/970299, 1058409/704969
5/101, 96/91, 1011101/1030301, 1122211/753571
5/102, 97/92, 130226/132651, 144381/97336
5/103, 98/93, 1073127/1092727, 1188517/804357
5/104, 99/94, 138133/140608, 152828/103823
5/106, 101/96, 146352/148877, 161597/110592
5/107, 102/97, 1204643/1225043, 1328833/912673
5/108, 103/98, 154889/157464, 170694/117649
5/109, 104/99, 1274229/1295029, 1402939/970299
5/111, 106/101, 1346431/1367631, 1479741/1030301
5/112, 107/102, 172941/175616, 189896/132651
5/113, 108/103, 1421297/1442897, 1559287/1092727
5/114, 109/104, 182468/185193, 200013/140608
5/116, 111/106, 192337/195112, 210482/148877
5/117, 112/107, 1579213/1601613, 1726803/1225043
5/118, 113/108, 202554/205379, 221309/157464
5/119, 114/109, 1662359/1685159, 1814869/1295029
5/121, 116/111, 1748361/1771561, 1905871/1367631
5/122, 117/112, 224056/226981, 244061/175616
5/123, 118/113, 1837267/1860867, 1999857/1442897
5/124, 119/114, 235353/238328, 255998/185193
5/126, 121/116, 247022/250047, 268317/195112
5/127, 122/117, 2023983/2048383, 2196973/1601613
5/128, 123/118, 259069/262144, 281024/205379
5/129, 124/119, 2121889/2146689, 2300199/1685159
5/131, 126/121, 2222891/2248091, 2406601/1771561
5/132, 127/122, 284321/287496, 307626/226981
5/133, 128/123, 2327037/2352637, 2516227/1860867
5/134, 129/124, 297538/300763, 321533/238328
5/136, 131/126, 311157/314432, 335852/250047
5/137, 132/127, 2544953/2571353, 2745343/2048383
5/138, 133/128, 325184/328509, 350589/262144
5/139, 134/129, 2658819/2685619, 2864929/2146689
5/141, 136/131, 2776021/2803221, 2987931/2248091
5/142, 137/132, 354486/357911, 381341/287496
5/143, 138/133, 2896607/2924207, 3114397/2352637
5/144, 139/134, 369773/373248, 397368/300763
5/146, 141/136, 385492/389017, 413837/314432
5/147, 142/137, 3148123/3176523, 3377913/2571353
5/148, 143/138, 401649/405224, 430754/328509
5/149, 144/139, 3279149/3307949, 3515059/2685619
5/151, 146/141, 3413751/3442951, 3655861/2803221
5/152, 147/142, 435301/438976, 465956/357911
5/153, 148/143, 3551977/3581577, 3800367/2924207
5/154, 149/144, 452808/456533, 484253/373248
5/156, 151/146, 470777/474552, 503022/389017
5/157, 152/147, 3839493/3869893, 4100683/3176523
5/158, 153/148, 489214/493039, 522269/405224
5/159, 154/149, 3988879/4019679, 4256589/3307949
5/161, 156/151, 4142081/4173281, 4416391/3442951
5/162, 157/152, 527516/531441, 562221/438976
5/163, 158/153, 4299147/4330747, 4580137/3581577
5/164, 159/154, 547393/551368, 582938/456533
5/166, 161/156, 567762/571787, 604157/474552
5/167, 162/157, 4625063/4657463, 4919653/3869893
5/168, 163/158, 588629/592704, 625884/493039
5/169, 164/159, 4794009/4826809, 5095519/4019679
5/171, 166/161, 4967011/5000211, 5275521/4173281
5/172, 167/162, 631881/636056, 670886/531441
5/173, 168/163, 5144117/5177717, 5459707/4330747
5/174, 169/164, 654278/658503, 694173/551368
5/176, 171/166, 677197/681472, 717992/571787
5/177, 172/167, 5510833/5545233, 5840823/4657463
5/178, 173/168, 700644/704969, 742349/592704
5/179, 174/169, 5700539/5735339, 6037849/4826809
5/181, 176/171, 5894541/5929741, 6239251/5000211
5/182, 177/172, 749146/753571, 792701/636056
5/183, 178/173, 6092887/6128487, 6445077/5177717
5/184, 179/174, 774213/778688, 818708/658503
5/186, 181/176, 799832/804357, 845277/681472
5/187, 182/177, 6502803/6539203, 6870193/5545233
5/188, 183/178, 826009/830584, 872414/704969
5/189, 184/179, 6714469/6751269, 7089579/5735339
5/191, 186/181, 6930671/6967871, 7313581/5929741
5/192, 187/182, 880061/884736, 928416/753571
5/193, 188/183, 7151457/7189057, 7542247/6128487
5/194, 189/184, 907948/912673, 957293/778688
5/196, 191/186, 936417/941192, 986762/804357
5/197, 192/187, 7606973/7645373, 8013763/6539203
5/198, 193/188, 965474/970299, 1016829/830584
5/199, 194/189, 7841799/7880599, 8256709/6751269
6, 106/131, 1441, 891/2248091
6, 113/128, 1441, 70609/262144
6/5, 61/59, 413/125, 264915/205379
6/7, 9/11, 55/343, 35/1331
6/7, 19/126, 55/343, 211420/250047
6/7, 24/125, 55/343, 1487717/1953125
6/7, 71/70, 55/343, 47916/42875
6/7, 101/77, 55/343, 2415125/456533
6/7, 107/88, 55/343, 302715/85184
6/13, 7, 181/2197, 2353
6/17, 11/5, 1745/4913, 5933/125
6/19, 13/7, 3115/6859, 8455/343
6/23, 17/11, 7271/12167, 15203/1331
6/25, 19/13, 10153/15625, 19525/2197
6/29, 23/17, 17765/24389, 30305/4913
6/31, 25/19, 22591/29791, 36859/6859
6/31, 30/31, 22591/29791, 22591/29791
6/31, 36/41, 22591/29791, 17081/68921
6/35, 29/23, 34523/42875, 52535/12167
6/37, 31/25, 41725/50653, 61753/15625
6/41, 35/29, 58841/68921, 83189/24389
6/43, 37/31, 68851/79507, 95503/29791
6/47, 41/35, 92015/103823, 123563/42875
6/49, 43/37, 105265/117649, 139405/50653
6/53, 47/41, 135341/148877, 174953/68921
6/55, 49/43, 152263/166375, 194755/79507
6/59, 53/47, 190115/205379, 238655/103823
6/61, 55/49, 211141/226981, 262849/117649
6/65, 59/53, 257633/274625, 315965/148877
6/67, 61/55, 283195/300763, 344983/166375
6/71, 65/59, 339191/357911, 408179/205379
6/73, 67/61, 369721/389017, 442453/226981
6/77, 71/65, 436085/456533, 516593/274625
6/79, 73/67, 472015/493039, 556555/300763
6/83, 77/71, 549611/571787, 642503/357911
6/85, 79/73, 591373/614125, 688585/389017
6/89, 83/77, 681065/704969, 787205/456533
6/91, 85/79, 729091/753571, 839839/493039
6/95, 89/83, 831743/857375, 951995/571787
6/97, 91/85, 886465/912673, 1011613/614125
6/101, 95/89, 1002941/1030301, 1138169/704969
6/103, 97/91, 1064791/1092727, 1205203/753571
6/107, 101/95, 1195955/1225043, 1347023/857375
6/109, 103/97, 1265365/1295029, 1421905/912673
6/113, 107/101, 1412081/1442897, 1579853/1030301
6/115, 109/103, 1489483/1520875, 1663015/1092727
6/119, 113/107, 1652615/1685159, 1837955/1225043
6/121, 115/109, 1738441/1771561, 1929829/1295029
6/125, 119/113, 1918853/1953125, 2122625/1442897
6/127, 121/115, 2013535/2048383, 2223643/1520875
6/131, 125/119, 2212091/2248091, 2435159/1685159
6/133, 127/121, 2316061/2352637, 2545753/1771561
6/137, 131/125, 2533625/2571353, 2776853/1953125
6/139, 133/127, 2647315/2685619, 2897455/2048383
6/143, 137/131, 2884751/2924207, 3149003/2248091
6/145, 139/133, 3008593/3048625, 3280045/2352637
6/149, 143/137, 3266765/3307949, 3552905/2571353
6/151, 145/139, 3401191/3442951, 3694819/2685619
6/155, 149/143, 3680963/3723875, 3989855/2924207
6/157, 151/145, 3826405/3869893, 4143073/3048625
6/161, 76/175, 4128641/4173281, 784783/5359375
6/161, 99/23, 4128641/4173281, 5971175/12167
6/161, 155/149, 4128641/4173281, 4461149/3307949
6/163, 157/151, 4285531/4330747, 4626103/3442951
6/167, 161/155, 4611095/4657463, 4968083/3723875
6/169, 163/157, 4779865/4826809, 5145205/3869893
6/173, 167/161, 5129621/5177717, 5511953/4173281
6/175, 169/163, 5310703/5359375, 5701675/4330747
6/179, 173/167, 5685515/5735339, 6094055/4657463
6/181, 175/169, 5879341/5929741, 6296809/4826809
6/185, 179/173, 6280073/6331625, 6715685/5177717
6/187, 181/175, 6487075/6539203, 6931903/5359375
6/191, 185/179, 6914591/6967871, 7378139/5735339
6/193, 187/181, 7135201/7189057, 7608253/5929741
6/197, 191/185, 7590365/7645373, 8082713/6331625
6/199, 193/187, 7825015/7880599, 8327155/6539203
7/3, 38/87, 1595/27, 92455/658503
7/3, 49/11, 1595/27, 731235/1331
7/3, 169/8, 1595/27, 4598385/64
7/5, 147/5, 909/125, 24547949/125
7/5, 181/160, 909/125, 1199981/512000
7/8, 173/96, 15/64, 2415125/110592
7/10, 9/16, -22/125, -55/512
7/10, 29/36, -22/125, -55/5832
7/10, 109/196, -22/125, -92455/941192
7/15, 8, 239/3375, 3585
7/16, 9/2, 71/512, 568
7/17, 10/3, 993/4913, 5627/27
7/18, 11/4, 190/729, 855/8
7/19, 12/5, 2155/6859, 8189/125
7/19, 147/169, 2155/6859, 1023625/4826809
7/20, 13/6, 363/1000, 1210/27
7/22, 15/8, 596/1331, 1639/64
7/23, 16/9, 5895/12167, 15065/729
7/24, 17/10, 895/1728, 2148/125
7/25, 14/9, 8569/15625, 8569/729
7/25, 18/11, 8569/15625, 19475/1331
7/25, 105/128, 8569/15625, 8569/262144
7/26, 19/12, 1266/2197, 2743/216
7/27, 20/13, 11843/19683, 24597/2197
7/29, 22/15, 15765/24389, 30479/3375
7/30, 23/16, 2248/3375, 4215/512
7/31, 24/17, 20383/29791, 37169/4913
7/32, 25/18, 2871/4096, 5104/729
7/33, 26/19, 25745/35937, 44715/6859
7/34, 27/20, 3590/4913, 6103/1000
7/36, 29/22, 4411/5832, 7218/1331
7/37, 30/23, 38893/50653, 62567/12167
7/38, 31/24, 5340/6859, 8455/1728
7/39, 32/25, 46775/59319, 72969/15625
7/40, 33/26, 6383/8000, 9820/2197
7/41, 34/27, 55593/68921, 84419/19683
7/43, 36/29, 65395/79507, 96965/24389
7/43, 42/43, 65395/79507, 65395/79507
7/43, 49/55, 65395/79507, 51127/166375
7/44, 37/30, 8835/10648, 12958/3375
7/45, 38/31, 76229/91125, 110655/29791
7/46, 39/32, 10256/12167, 14743/4096
7/47, 40/33, 88143/103823, 125537/35937
7/48, 41/34, 11815/13824, 16680/4913
7/50, 43/36, 13518/15625, 18775/5832
7/51, 44/37, 115403/132651, 159069/50653
7/52, 45/38, 15371/17576, 21034/6859
7/53, 46/39, 130845/148877, 177815/59319
7/54, 47/40, 17380/19683, 23463/8000
7/55, 48/41, 147559/166375, 197945/68921
7/57, 50/43, 165593/185193, 219507/79507
7/58, 51/44, 21890/24389, 28855/10648
7/59, 52/45, 184995/205379, 242549/91125
7/60, 53/46, 24403/27000, 31830/12167
7/61, 54/47, 205813/226981, 267119/103823
7/62, 55/48, 27096/29791, 34999/13824
7/64, 57/50, 29975/32768, 38368/15625
7/65, 58/51, 251889/274625, 321035/132651
7/66, 59/52, 33046/35937, 41943/17576
7/67, 60/53, 277243/300763, 350477/148877
7/68, 61/54, 36315/39304, 45730/19683
7/69, 62/55, 304205/328509, 381639/166375
7/71, 64/57, 332823/357911, 414569/185193
7/72, 65/58, 43471/46656, 53964/24389
7/73, 66/59, 363145/389017, 449315/205379
7/74, 67/60, 47370/50653, 58423/27000
7/75, 68/61, 395219/421875, 485925/226981
7/76, 69/62, 51491/54872, 63118/29791
7/78, 71/64, 55840/59319, 68055/32768
7/79, 72/65, 464815/493039, 564929/274625
7/80, 73/66, 60423/64000, 73240/35937
7/81, 74/67, 502433/531441, 607419/300763
7/82, 75/68, 65246/68921, 78679/39304
7/83, 76/69, 541995/571787, 651965/328509
7/85, 78/71, 583549/614125, 698615/357911
7/86, 79/72, 75636/79507, 90343/46656
7/87, 80/73, 627143/658503, 747417/389017
7/88, 81/74, 81215/85184, 96580/50653
7/89, 82/75, 672825/704969, 798419/421875
7/90, 83/76, 87058/91125, 103095/54872
7/92, 85/78, 93171/97336, 109894/59319
7/93, 86/79, 770645/804357, 907215/493039
7/94, 87/80, 99560/103823, 116983/64000
7/95, 88/81, 822879/857375, 965105/531441
7/96, 89/82, 106231/110592, 124368/68921
7/97, 90/83, 877393/912673, 1025387/571787
7/99, 92/85, 934235/970299, 1088109/614125
7/100, 93/86, 120443/125000, 140050/79507
7/101, 94/87, 993453/1030301, 1153319/658503
7/102, 95/88, 127996/132651, 148359/85184
7/103, 96/89, 1055095/1092727, 1221065/704969
7/104, 97/90, 135855/140608, 156988/91125
7/106, 99/92, 144026/148877, 165943/97336
7/107, 100/93, 1185843/1225043, 1364357/804357
7/108, 101/94, 152515/157464, 175230/103823
7/109, 102/95, 1255045/1295029, 1439999/857375
7/110, 103/96, 161328/166375, 184855/110592
7/111, 104/97, 1326863/1367631, 1518369/912673
7/113, 106/99, 1401345/1442897, 1599515/970299
7/114, 107/100, 179950/185193, 205143/125000
7/115, 108/101, 1478539/1520875, 1683485/1030301
7/116, 109/102, 189771/195112, 215818/132651
7/117, 110/103, 1558493/1601613, 1770327/1092727
7/118, 111/104, 199940/205379, 226855/140608
7/120, 113/106, 210463/216000, 238260/148877
7/121, 114/107, 1726873/1771561, 1952819/1225043
7/122, 115/108, 221346/226981, 250039/157464
7/123, 116/109, 1815395/1860867, 2048565/1295029
7/124, 117/110, 232595/238328, 262198/166375
7/125, 118/111, 1906869/1953125, 2147375/1367631
7/127, 120/113, 2001343/2048383, 2249297/1442897
7/128, 121/114, 256215/262144, 287680/185193
7/129, 122/115, 2098865/2146689, 2354379/1520875
7/130, 123/116, 268598/274625, 301015/195112
7/131, 124/117, 2199483/2248091, 2462669/1601613
7/132, 125/118, 281371/287496, 314754/205379
7/134, 127/120, 294540/300763, 328903/216000
7/135, 128/121, 2410199/2460375, 2689065/1771561
7/136, 129/122, 308111/314432, 343468/226981
7/137, 130/123, 2520393/2571353, 2807267/1860867
7/138, 131/124, 322090/328509, 358455/238328
7/139, 132/125, 2633875/2685619, 2928869/1953125
7/141, 134/127, 2750693/2803221, 3053919/2048383
7/142, 135/128, 351296/357911, 389719/262144
7/143, 136/129, 2870895/2924207, 3182465/2146689
7/144, 137/130, 366535/373248, 406008/274625
7/145, 138/131, 2994529/3048625, 3314555/2248091
7/146, 139/132, 382206/389017, 422743/287496
7/148, 141/134, 398315/405224, 439930/300763
7/149, 142/135, 3252285/3307949, 3589559/2460375
7/150, 143/136, 414868/421875, 457575/314432
7/151, 144/137, 3386503/3442951, 3732569/2571353
7/152, 145/138, 431871/438976, 475684/328509
7/153, 146/139, 3524345/3581577, 3879315/2685619
7/155, 148/141, 3665859/3723875, 4029845/2803221
7/156, 149/142, 467251/474552, 513318/357911
7/157, 150/143, 3811093/3869893, 4184207/2924207
7/158, 151/144, 485640/493039, 532855/373248
7/159, 152/145, 3960095/4019679, 4342449/3048625
7/160, 153/146, 504503/512000, 552880/389017
7/162, 155/148, 523846/531441, 573399/405224
7/163, 156/149, 4269595/4330747, 4670765/3307949
7/164, 157/150, 543675/551368, 594418/421875
7/165, 158/151, 4430189/4492125, 4840935/3442951
7/166, 159/152, 563996/571787, 615943/438976
7/167, 160/153, 4594743/4657463, 5015177/3581577
7/169, 162/155, 4763305/4826809, 5193539/3723875
7/170, 163/156, 606138/614125, 660535/474552
7/171, 164/157, 4935923/5000211, 5376069/3869893
7/172, 165/158, 627971/636056, 683614/493039
7/173, 166/159, 5112645/5177717, 5562815/4019679
7/174, 167/160, 650320/658503, 707223/512000
7/176, 169/162, 673191/681472, 731368/531441
7/177, 170/163, 5478593/5545233, 5949147/4330747
7/178, 171/164, 696590/704969, 756055/551368
7/179, 172/165, 5667915/5735339, 6148829/4492125
7/180, 173/166, 720523/729000, 781290/571787
7/181, 174/167, 5861533/5929741, 6352919/4657463
7/183, 176/169, 6059495/6128487, 6561465/4826809
7/184, 177/170, 770015/778688, 833428/614125
7/185, 178/171, 6261849/6331625, 6774515/5000211
7/186, 179/172, 795586/804357, 860343/636056
7/187, 180/173, 6468643/6539203, 6992117/5177717
7/188, 181/174, 821715/830584, 887830/658503
7/190, 183/176, 848408/857375, 915895/681472
7/191, 184/177, 6895743/6967871, 7441169/5545233
7/192, 185/178, 875671/884736, 944544/704969
7/193, 186/179, 7116145/7189057, 7672715/5735339
7/194, 187/180, 903510/912673, 973783/729000
7/195, 188/181, 7341179/7414875, 7909005/5929741
7/197, 190/183, 7570893/7645373, 8150087/6128487
7/198, 191/184, 960940/970299, 1034055/778688
7/199, 192/185, 7805335/7880599, 8396009/6331625
8/7, 22/63, 855/343, 91295/250047
8/7, 41/19, 855/343, 302715/6859
8/7, 73/90, 855/343, 532/91125
8/17, 9, 305/4913, 5185
8/17, 33/32, 305/4913, 5185/4096
8/17, 73/85, 305/4913, 102541/614125
8/19, 11/3, 1227/6859, 7771/27
8/21, 13/5, 2605/9261, 10941/125
8/23, 15/7, 4487/12167, 14743/343
8/25, 9/50, 6921/15625, 12304/15625
8/25, 17/9, 6921/15625, 19225/729
8/25, 41/32, 6921/15625, 19225/4096
8/27, 19/11, 9955/19683, 24435/1331
8/29, 21/13, 13637/24389, 30421/2197
8/31, 23/15, 18015/29791, 37231/3375
8/33, 25/17, 23137/35937, 44913/4913
8/35, 27/19, 29051/42875, 53515/6859
8/37, 29/21, 35805/50653, 63085/9261
8/39, 31/23, 43447/59319, 73671/12167
8/41, 25/82, 52025/68921, 33296/68921
8/41, 33/25, 52025/68921, 85321/15625
8/41, 57/32, 52025/68921, 85321/4096
8/43, 35/27, 61587/79507, 98083/19683
8/45, 37/29, 72181/91125, 112005/24389
8/47, 39/31, 83855/103823, 127135/29791
8/49, 41/33, 96657/117649, 143521/35937
8/51, 43/35, 110635/132651, 161211/42875
8/53, 45/37, 125837/148877, 180253/50653
8/55, 47/39, 142311/166375, 200695/59319
8/57, 49/41, 160105/185193, 222585/68921
8/57, 56/57, 160105/185193, 160105/185193
8/57, 64/71, 160105/185193, 128535/357911
8/59, 51/43, 179267/205379, 245971/79507
8/61, 53/45, 199845/226981, 270901/91125
8/63, 55/47, 221887/250047, 297423/103823
